Year,Month,State,Genus Species,Location of Preparation,Illnesses,Hospitalizations,Deaths,Food Vehicle,causative_agent,prep_location,perc_tot_illnesses,perc_tot_hospitalizations,perc_tot_deaths,Year/Month
2009,1,Minnesota,Norovirus,Restaurant - Sit-down dining,2,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.0005354307942312687,0.0,0.0,2009-1
2009,1,Minnesota,Norovirus,,16,0.0,0.0,,Norovirus,,0.0042834463538501495,0.0,0.0,2009-1
2009,1,Minnesota,Norovirus,Restaurant - Sit-down dining,5,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.0013385769855781716,0.0,0.0,2009-1
2009,1,Minnesota,Norovirus,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,,Norovirus,Restaurant/Fast-food,0.0008031461913469029,0.0,0.0,2009-1
2009,1,Minnesota,Norovirus,Restaurant - other or unknown type,21,0.0,0.0,cookies,Norovirus,Restaurant/other,0.00562202333942832,0.0,0.0,2009-1
2009,1,Minnesota,Norovirus,Restaurant - other or unknown type,7,0.0,0.0,"salad, unspecified",Norovirus,Restaurant/other,0.0018740077798094403,0.0,0.0,2009-1
2009,2,Minnesota,Norovirus,Restaurant - other or unknown type,5,0.0,0.0,,Norovirus,Restaurant/other,0.0013385769855781716,0.0,0.0,2009-2
2009,2,Minnesota,Norovirus Genogroup II,Restaurant - other or unknown type,22,1.0,0.0,mushrooms; pasta salad; fruit,Norovirus,Restaurant/other,0.005889738736543955,0.006811525100469996,0.0,2009-2
2009,2,Minnesota,Norovirus,Restaurant - other or unknown type,16,0.0,0.0,vegetables,Norovirus,Restaurant/other,0.0042834463538501495,0.0,0.0,2009-2
2009,2,Minnesota,Campylobacter jejuni,Restaurant - other or unknown type,11,2.0,0.0,"lettuce, unspecified",Campylobacter,Restaurant/other,0.0029448693682719777,0.013623050200939991,0.0,2009-2
2009,2,Minnesota,Norovirus,Restaurant - Sit-down dining,6,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.0016062923826938057,0.0,0.0,2009-2
2009,2,Alaska,Norovirus Genogroup I; Norovirus Genogroup II,Private home/residence,35,0.0,0.0,,Norovirus,Private home/residence,0.0093700388990472,0.0,0.0,2009-2
2009,1,Alabama,Bacillus cereus,Restaurant - Sit-down dining,13,0.0,0.0,"rice, white",Bacillus,Restaurant/Sit-down,0.0034803001625032456,0.0,0.0,2009-1
2009,1,Illinois,Norovirus Genogroup II,Restaurant - Sit-down dining,6,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.0016062923826938057,0.0,0.0,2009-1
2009,1,Illinois,Norovirus Genogroup II,Restaurant - Sit-down dining,23,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.006157454133659588,0.0,0.0,2009-1
2009,1,Illinois,,Restaurant - other or unknown type,4,0.0,0.0,,,Restaurant/other,0.0010708615884625374,0.0,0.0,2009-1
2009,1,Illinois,,Caterer (food prepared off-site from where served),31,0.0,0.0,,,Caterer,0.008299177310584663,0.0,0.0,2009-1
2009,1,Illinois,Norovirus Genogroup II,Restaurant - other or unknown type,26,1.0,0.0,"cake, chocolate",Norovirus,Restaurant/other,0.006960600325006491,0.006811525100469996,0.0,2009-1
2009,1,Illinois,,Restaurant - other or unknown type,2,0.0,0.0,,,Restaurant/other,0.0005354307942312687,0.0,0.0,2009-1
2009,1,Illinois,,Restaurant - other or unknown type,4,0.0,0.0,,,Restaurant/other,0.0010708615884625374,0.0,0.0,2009-1
2009,1,Illinois,Salmonella enterica,Grocery store; Other (describe in remarks),7,2.0,0.0,,Salmonella,Other,0.0018740077798094403,0.013623050200939991,0.0,2009-1
2009,1,Illinois,Norovirus Genogroup II,Restaurant - Sit-down dining,16,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.0042834463538501495,0.0,0.0,2009-1
2009,1,Illinois,,Restaurant - other or unknown type,5,0.0,0.0,,,Restaurant/other,0.0013385769855781716,0.0,0.0,2009-1
2009,2,Illinois,Norovirus Genogroup II,Other (describe in remarks),51,0.0,0.0,,Norovirus,Other,0.01365348525289735,0.0,0.0,2009-2
2009,2,Illinois,Norovirus Genogroup II,Restaurant - Sit-down dining,10,0.0,0.0,,Norovirus,Restaurant/Sit-down,0.002677153971156343,0.0,0.0,2009-2
2009,2,Illinois,,Restaurant - other or unknown type,3,0.0,0.0,,,Restaurant/other,0.0008031461913469029,0.0,0.0,2009-2
2009,2,Illinois,,Restaurant - other or unknown type,5,0.0,0.0,,,Restaurant/other,0.0013385769855781716,0.0,0.0,2009-2
2009,2,Illinois,Norovirus Genogroup II,Restaurant - other or unknown type,13,0.0,0.0,,Norovirus,Restaurant/other,0.0034803001625032456,0.0,0.0,2009-2
2009,3,Illinois,,Other (describe in remarks),2,0.0,0.0,,,Other,0.0005354307942312687,0.0,0.0,2009-3
2009,3,Illinois,Norovirus Genogroup II,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),22,1.0,0.0,chicken salad,Norovirus,Restaurant/Sit-down,0.005889738736543955,0.006811525100469996,0.0,2009-3
2009,1,Pennsylvania,Campylobacter jejuni,Other (describe in remarks),9,1.0,0.0,"milk, whole milk unpasteurized",Campylobacter,Other,0.002409438574040709,0.006811525100469996,0.0,2009-1
2009,1,Tennessee,Norovirus Genogroup I,Grocery store,8,1.0,0.0,cake,Norovirus,Grocery store,0.0021417231769250747,0.006811525100469996,0.0,2009-1
2009,3,Tennessee,Norovirus Genogroup I,Restaurant - Sit-down dining,9,0.0,0.0,"oysters, raw",Norovirus,Restaurant/Sit-down,0.002409438574040709,0.0,0.0,2009-3
2009,3,New York,Shigella sonnei,Restaurant - Sit-down dining,96,0.0,0.0,multiple foods,Shigella,Restaurant/Sit-down,0.02570067812310089,0.0,0.0,2009-3
2009,1,Massachusetts,Salmonella enterica,Restaurant - Sit-down dining,5,0.0,0.0,,Salmonella,Restaurant/Sit-down,0.0013385769855781716,0.0,0.0,2009-1
