State,2015 Population
Alabama,"4,858,979"
Alaska,"738,432"
Arizona,"6,828,065"
Arkansas,"2,978,204"
California,"39,144,818"
Colorado,"5,456,574"
Connecticut,"3,590,886"
Delaware,"945,934"
DC,"672,228"
Florida,"20,271,272"
Georgia,"10,214,860"
Hawaii,"1,431,603"
Idaho,"1,654,930"
Illinois,"12,859,995"
Indiana,"6,619,680"
Iowa,"3,123,899"
Kansas,"2,911,641"
Kentucky,"4,425,092"
Louisiana,"4,649,676"
Maine,"1,329,328"
Maryland,"6,006,401"
Massachusetts,"6,794,422"
Michigan,"9,922,576"
Minnesota,"5,489,594"
Mississippi,"2,992,333"
Missouri,"6,083,672"
Montana,"1,032,949"
Nebraska,"1,896,190"
Nevada,"2,890,845"
New Hampshire,"1,330,608"
New Jersey,"8,958,013"
New Mexico,"2,085,109"
New York,"19,795,791"
North Carolina,"10,042,802"
North Dakota,"756,927"
Ohio,"11,613,423"
Oklahoma,"3,911,338"
Oregon,"4,028,977"
Pennsylvania,"12,802,503"
Rhode Island,"1,056,298"
South Carolina,"4,896,146"
South Dakota,"858,469"
Tennessee,"6,600,299"
Texas,"27,469,114"
Utah,"2,995,919"
Vermont,"626,042"
Virginia,"8,382,993"
Washington,"7,170,351"
West Virginia,"1,844,128"
Wisconsin,"5,771,337"
Wyoming,"586,107"
